simulationId,archetypeId,profileId,timelineKey,weeks,totalCompletionCount,avgAdherenceClamped,statOverallPct,rankOverallRank,rankOverallLp,rankOverallProgressValue,currentWeekShare,mappedHabitCount,unmappedHabitCount
A01_P16_6m,A01,P16,6m,24,480,1,9,Gold II,7,1507,0.0417,4,0
A01_P16_12m,A01,P16,12m,48,960,1,14,Gold I,92,1692,0.0208,4,0
A01_P16_24m,A01,P16,24m,96,1920,1,22,Emerald IV,92,2192,0.0104,4,0
A01_P16_48m,A01,P16,48m,192,3840,1,33,Diamond II,96,2796,0.0052,4,0
A01_P17_1m,A01,P17,1m,4,64,1,2,Iron II,0,300,0.2500,4,0
A01_P17_3m,A01,P17,3m,12,192,1,4,Silver II,45,1145,0.0833,4,0
A01_P17_6m,A01,P17,6m,24,384,1,7,Gold II,7,1507,0.0417,4,0
A01_P17_12m,A01,P17,12m,48,768,1,12,Gold I,92,1692,0.0208,4,0
A01_P17_24m,A01,P17,24m,96,1536,1,19,Emerald IV,92,2192,0.0104,4,0
A01_P17_48m,A01,P17,48m,192,3072,1,29,Diamond II,96,2796,0.0052,4,0
A01_P18_1m,A01,P18,1m,4,76,1,2,Iron II,0,300,0.2500,4,0
A01_P18_3m,A01,P18,3m,12,228,1,4,Silver II,45,1145,0.0833,4,0
A01_P18_6m,A01,P18,6m,24,456,1,7,Gold II,7,1507,0.0417,4,0
A01_P18_12m,A01,P18,12m,48,912,1,12,Gold I,92,1692,0.0208,4,0
A01_P18_24m,A01,P18,24m,96,1824,1,19,Emerald IV,92,2192,0.0104,4,0
A01_P18_48m,A01,P18,48m,192,3648,1,29,Diamond II,96,2796,0.0052,4,0
A01_P19_1m,A01,P19,1m,4,140,1,3,Iron II,0,300,0.2500,5,0
A01_P19_3m,A01,P19,3m,12,420,1,9,Silver II,45,1145,0.0833,5,0
A01_P19_6m,A01,P19,6m,24,840,1,14,Gold II,7,1507,0.0417,5,0
A01_P19_12m,A01,P19,12m,48,1680,1,22,Gold I,92,1692,0.0208,5,0
A01_P19_24m,A01,P19,24m,96,3360,1,32,Emerald IV,92,2192,0.0104,5,0
A01_P19_48m,A01,P19,48m,192,6720,1,42,Diamond II,96,2796,0.0052,5,0
A01_P20_1m,A01,P20,1m,4,60,1,0,Iron II,0,300,0.2500,0,3
A01_P20_3m,A01,P20,3m,12,180,1,0,Silver II,45,1145,0.0833,0,3
A01_P20_6m,A01,P20,6m,24,360,1,0,Gold II,7,1507,0.0417,0,3
A01_P20_12m,A01,P20,12m,48,720,1,0,Gold I,92,1692,0.0208,0,3
A01_P20_24m,A01,P20,24m,96,1440,1,0,Emerald IV,92,2192,0.0104,0,3
A01_P20_48m,A01,P20,48m,192,2880,1,0,Diamond II,96,2796,0.0052,0,3
A01_P21_1m,A01,P21,1m,4,60,1,0,Iron II,0,300,0.2500,1,2
A01_P21_3m,A01,P21,3m,12,180,1,1,Silver II,45,1145,0.0833,1,2
A01_P21_6m,A01,P21,6m,24,360,1,1,Gold II,7,1507,0.0417,1,2
A01_P21_12m,A01,P21,12m,48,720,1,2,Gold I,92,1692,0.0208,1,2
A01_P21_24m,A01,P21,24m,96,1440,1,4,Emerald IV,92,2192,0.0104,1,2
A01_P21_48m,A01,P21,48m,192,2880,1,7,Diamond II,96,2796,0.0052,1,2
A01_P22_1m,A01,P22,1m,4,72,1,0,Iron II,0,300,0.2500,1,3
A01_P22_3m,A01,P22,3m,12,216,1,1,Silver II,45,1145,0.0833,1,3
A01_P22_6m,A01,P22,6m,24,432,1,1,Gold II,7,1507,0.0417,1,3
A01_P22_12m,A01,P22,12m,48,864,1,2,Gold I,92,1692,0.0208,1,3
A01_P22_24m,A01,P22,24m,96,1728,1,4,Emerald IV,92,2192,0.0104,1,3
A01_P22_48m,A01,P22,48m,192,3456,1,7,Diamond II,96,2796,0.0052,1,3
A01_P23_1m,A01,P23,1m,4,180,1,3,Iron II,0,300,0.2500,6,3
A01_P23_3m,A01,P23,3m,12,540,1,8,Silver II,45,1145,0.0833,6,3
A01_P23_6m,A01,P23,6m,24,1080,1,13,Gold II,7,1507,0.0417,6,3
A01_P23_12m,A01,P23,12m,48,2160,1,21,Gold I,92,1692,0.0208,6,3
A01_P23_24m,A01,P23,24m,96,4320,1,32,Emerald IV,92,2192,0.0104,6,3
A01_P23_48m,A01,P23,48m,192,8640,1,47,Diamond II,96,2796,0.0052,6,3
A01_P24_1m,A01,P24,1m,4,12,1,0,Iron II,0,300,0.2500,2,0
A01_P24_3m,A01,P24,3m,12,36,1,1,Silver II,45,1145,0.0833,2,0
A01_P24_6m,A01,P24,6m,24,72,1,1,Gold II,7,1507,0.0417,2,0
A01_P24_12m,A01,P24,12m,48,144,1,2,Gold I,92,1692,0.0208,2,0
A01_P24_24m,A01,P24,24m,96,288,1,4,Emerald IV,92,2192,0.0104,2,0
A01_P24_48m,A01,P24,48m,192,576,1,7,Diamond II,96,2796,0.0052,2,0
A01_P25_1m,A01,P25,1m,4,44,1,1,Iron II,0,300,0.2500,3,0
A01_P25_3m,A01,P25,3m,12,132,1,3,Silver II,45,1145,0.0833,3,0
A01_P25_6m,A01,P25,6m,24,264,1,5,Gold II,7,1507,0.0417,3,0
A01_P25_12m,A01,P25,12m,48,528,1,9,Gold I,92,1692,0.0208,3,0
A01_P25_24m,A01,P25,24m,96,1056,1,14,Emerald IV,92,2192,0.0104,3,0
A01_P25_48m,A01,P25,48m,192,2112,1,24,Diamond II,96,2796,0.0052,3,0
A01_P26_1m,A01,P26,1m,4,48,1,1,Iron II,0,300,0.2500,4,0
A01_P26_3m,A01,P26,3m,12,144,1,3,Silver II,45,1145,0.0833,4,0
A01_P26_6m,A01,P26,6m,24,288,1,6,Gold II,7,1507,0.0417,4,0
A01_P26_12m,A01,P26,12m,48,576,1,9,Gold I,92,1692,0.0208,4,0
A01_P26_24m,A01,P26,24m,96,1152,1,15,Emerald IV,92,2192,0.0104,4,0
A01_P26_48m,A01,P26,48m,192,2304,1,25,Diamond II,96,2796,0.0052,4,0
A01_P27_1m,A01,P27,1m,4,76,1,2,Iron II,0,300,0.2500,3,0
A01_P27_3m,A01,P27,3m,12,228,1,5,Silver II,45,1145,0.0833,3,0
A01_P27_6m,A01,P27,6m,24,456,1,9,Gold II,7,1507,0.0417,3,0
A01_P27_12m,A01,P27,12m,48,912,1,15,Gold I,92,1692,0.0208,3,0
A01_P27_24m,A01,P27,24m,96,1824,1,24,Emerald IV,92,2192,0.0104,3,0
A01_P27_48m,A01,P27,48m,192,3648,1,38,Diamond II,96,2796,0.0052,3,0
A01_P28_1m,A01,P28,1m,4,24,1,1,Iron II,0,300,0.2500,3,0
A01_P28_3m,A01,P28,3m,12,72,1,2,Silver II,45,1145,0.0833,3,0
A01_P28_6m,A01,P28,6m,24,144,1,3,Gold II,7,1507,0.0417,3,0
A01_P28_12m,A01,P28,12m,48,288,1,5,Gold I,92,1692,0.0208,3,0
A01_P28_24m,A01,P28,24m,96,576,1,8,Emerald IV,92,2192,0.0104,3,0
A01_P28_48m,A01,P28,48m,192,1152,1,14,Diamond II,96,2796,0.0052,3,0
A01_P29_1m,A01,P29,1m,4,60,1,1,Iron II,0,300,0.2500,3,0
A01_P29_3m,A01,P29,3m,12,180,1,4,Silver II,45,1145,0.0833,3,0
A01_P29_6m,A01,P29,6m,24,360,1,7,Gold II,7,1507,0.0417,3,0
A01_P29_12m,A01,P29,12m,48,720,1,11,Gold I,92,1692,0.0208,3,0
A01_P29_24m,A01,P29,24m,96,1440,1,18,Emerald IV,92,2192,0.0104,3,0
A01_P29_48m,A01,P29,48m,192,2880,1,27,Diamond II,96,2796,0.0052,3,0
A01_P30_1m,A01,P30,1m,4,28,1,1,Iron II,0,300,0.2500,1,0
A01_P30_3m,A01,P30,3m,12,84,1,2,Silver II,45,1145,0.0833,1,0
A01_P30_6m,A01,P30,6m,24,168,1,3,Gold II,7,1507,0.0417,1,0
A01_P30_12m,A01,P30,12m,48,336,1,6,Gold I,92,1692,0.0208,1,0
A01_P30_24m,A01,P30,24m,96,672,1,9,Emerald IV,92,2192,0.0104,1,0
A01_P30_48m,A01,P30,48m,192,1344,1,16,Diamond II,96,2796,0.0052,1,0
A01_P31_1m,A01,P31,1m,4,24,1,1,Iron II,0,300,0.2500,2,0
A01_P31_3m,A01,P31,3m,12,72,1,2,Silver II,45,1145,0.0833,2,0
A01_P31_6m,A01,P31,6m,24,144,1,3,Gold II,7,1507,0.0417,2,0
A01_P31_12m,A01,P31,12m,48,288,1,5,Gold I,92,1692,0.0208,2,0
A01_P31_24m,A01,P31,24m,96,576,1,8,Emerald IV,92,2192,0.0104,2,0
A01_P31_48m,A01,P31,48m,192,1152,1,14,Diamond II,96,2796,0.0052,2,0
A01_P32_1m,A01,P32,1m,4,60,1,2,Iron II,0,300,0.2500,3,0
A01_P32_3m,A01,P32,3m,12,180,1,4,Silver II,45,1145,0.0833,3,0
A01_P32_6m,A01,P32,6m,24,360,1,7,Gold II,7,1507,0.0417,3,0
A01_P32_12m,A01,P32,12m,48,720,1,12,Gold I,92,1692,0.0208,3,0
A01_P32_24m,A01,P32,24m,96,1440,1,19,Emerald IV,92,2192,0.0104,3,0
A01_P32_48m,A01,P32,48m,192,2880,1,32,Diamond II,96,2796,0.0052,3,0
A01_P33_1m,A01,P33,1m,4,28,1,0,Iron II,0,300,0.2500,1,0
A01_P33_3m,A01,P33,3m,12,84,1,1,Silver II,45,1145,0.0833,1,0
A01_P33_6m,A01,P33,6m,24,168,1,2,Gold II,7,1507,0.0417,1,0
A01_P33_12m,A01,P33,12m,48,336,1,3,Gold I,92,1692,0.0208,1,0
A01_P33_24m,A01,P33,24m,96,672,1,5,Emerald IV,92,2192,0.0104,1,0
A01_P33_48m,A01,P33,48m,192,1344,1,8,Diamond II,96,2796,0.0052,1,0
A01_P34_1m,A01,P34,1m,4,60,1,1,Iron II,0,300,0.2500,3,0
A01_P34_3m,A01,P34,3m,12,180,1,4,Silver II,45,1145,0.0833,3,0
A01_P34_6m,A01,P34,6m,24,360,1,7,Gold II,7,1507,0.0417,3,0
A01_P34_12m,A01,P34,12m,48,720,1,11,Gold I,92,1692,0.0208,3,0
A01_P34_24m,A01,P34,24m,96,1440,1,18,Emerald IV,92,2192,0.0104,3,0
A01_P34_48m,A01,P34,48m,192,2880,1,27,Diamond II,96,2796,0.0052,3,0
A01_P35_1m,A01,P35,1m,4,28,1,1,Iron II,0,300,0.2500,3,0
A01_P35_3m,A01,P35,3m,12,84,1,2,Silver II,45,1145,0.0833,3,0
A01_P35_6m,A01,P35,6m,24,168,1,3,Gold II,7,1507,0.0417,3,0
A01_P35_12m,A01,P35,12m,48,336,1,6,Gold I,92,1692,0.0208,3,0
A01_P35_24m,A01,P35,24m,96,672,1,9,Emerald IV,92,2192,0.0104,3,0
A01_P35_48m,A01,P35,48m,192,1344,1,16,Diamond II,96,2796,0.0052,3,0
A01_P36_1m,A01,P36,1m,4,172,1,4,Iron II,0,300,0.2500,7,0
A01_P36_3m,A01,P36,3m,12,516,1,10,Silver II,45,1145,0.0833,7,0
A01_P36_6m,A01,P36,6m,24,1032,1,16,Gold II,7,1507,0.0417,7,0
A01_P36_12m,A01,P36,12m,48,2064,1,26,Gold I,92,1692,0.0208,7,0
A01_P36_24m,A01,P36,24m,96,4128,1,38,Emerald IV,92,2192,0.0104,7,0
A01_P36_48m,A01,P36,48m,192,8256,1,53,Diamond II,96,2796,0.0052,7,0
A01_P37_1m,A01,P37,1m,4,416,1,9,Iron II,0,300,0.2500,20,0
A01_P37_3m,A01,P37,3m,12,1248,1,23,Silver II,45,1145,0.0833,20,0
A01_P37_6m,A01,P37,6m,24,2496,1,36,Gold II,7,1507,0.0417,20,0
A01_P37_12m,A01,P37,12m,48,4992,1,53,Gold I,92,1692,0.0208,20,0
A01_P37_24m,A01,P37,24m,96,9984,1,70,Emerald IV,92,2192,0.0104,20,0
A01_P37_48m,A01,P37,48m,192,19968,1,85,Diamond II,96,2796,0.0052,20,0
A01_P38_1m,A01,P38,1m,4,72,1,1,Iron II,0,300,0.2500,4,0
A01_P38_3m,A01,P38,3m,12,216,1,4,Silver II,45,1145,0.0833,4,0
A01_P38_6m,A01,P38,6m,24,432,1,7,Gold II,7,1507,0.0417,4,0
A01_P38_12m,A01,P38,12m,48,864,1,11,Gold I,92,1692,0.0208,4,0
A01_P38_24m,A01,P38,24m,96,1728,1,19,Emerald IV,92,2192,0.0104,4,0
A01_P38_48m,A01,P38,48m,192,3456,1,31,Diamond II,96,2796,0.0052,4,0
A01_P39_1m,A01,P39,1m,4,236,1,6,Iron II,0,300,0.2500,14,0
A01_P39_3m,A01,P39,3m,12,708,1,14,Silver II,45,1145,0.0833,14,0
A01_P39_6m,A01,P39,6m,24,1416,1,23,Gold II,7,1507,0.0417,14,0
A01_P39_12m,A01,P39,12m,48,2832,1,35,Gold I,92,1692,0.0208,14,0
A01_P39_24m,A01,P39,24m,96,5664,1,49,Emerald IV,92,2192,0.0104,14,0
A01_P39_48m,A01,P39,48m,192,11328,1,62,Diamond II,96,2796,0.0052,14,0
A02_P00_1m,A02,P00,1m,4,8,0.6666666666666666,0,Unranked,66,66,0.2500,1,0
A02_P00_3m,A02,P00,3m,12,24,0.6666666666666667,1,Bronze IV,26,526,0.0833,1,0
A02_P00_6m,A02,P00,6m,24,48,0.6666666666666664,1,Bronze I,23,823,0.0417,1,0
A02_P00_12m,A02,P00,12m,48,96,0.6666666666666671,2,Silver III,26,1026,0.0208,1,0
A02_P00_24m,A02,P00,24m,96,192,0.6666666666666657,3,Silver I,29,1229,0.0104,1,0
A02_P00_48m,A02,P00,48m,192,384,0.6666666666666685,5,Gold II,30,1530,0.0052,1,0
A02_P01_1m,A02,P01,1m,4,24,0.7333333333333333,1,Unranked,60,60,0.2500,2,0
A02_P01_3m,A02,P01,3m,12,72,0.7333333333333336,2,Bronze III,84,684,0.0833,2,0
A02_P01_6m,A02,P01,6m,24,144,0.7333333333333334,3,Silver III,18,1018,0.0417,2,0
A02_P01_12m,A02,P01,12m,48,288,0.7333333333333322,5,Silver I,9,1209,0.0208,2,0
A02_P01_24m,A02,P01,24m,96,576,0.7333333333333325,8,Gold III,62,1462,0.0104,2,0
A02_P01_48m,A02,P01,48m,192,1152,0.7333333333333398,15,Platinum IV,64,1764,0.0052,2,0
A02_P02_1m,A02,P02,1m,4,44,0.726984126984127,1,Unranked,60,60,0.2500,3,0
A02_P02_3m,A02,P02,3m,12,132,0.726984126984127,3,Bronze III,73,673,0.0833,3,0
A02_P02_6m,A02,P02,6m,24,264,0.7269841269841263,5,Silver III,5,1005,0.0417,3,0
A02_P02_12m,A02,P02,12m,48,528,0.7269841269841264,9,Silver II,90,1190,0.0208,3,0
A02_P02_24m,A02,P02,24m,96,1056,0.7269841269841286,14,Gold III,26,1426,0.0104,3,0
A02_P02_48m,A02,P02,48m,192,2112,0.7269841269841341,25,Platinum IV,27,1727,0.0052,3,0
A02_P03_1m,A02,P03,1m,4,52,0.7119047619047619,1,Unranked,62,62,0.2500,4,0
A02_P03_3m,A02,P03,3m,12,156,0.7119047619047622,3,Bronze III,36,636,0.0833,4,0
A02_P03_6m,A02,P03,6m,24,312,0.7119047619047617,6,Silver IV,59,959,0.0417,4,0
A02_P03_12m,A02,P03,12m,48,624,0.7119047619047598,10,Silver II,49,1149,0.0208,4,0
